event_nr,position,runner,agegroup,gender,club,time,age_grade,no_runs,no_volunteered
1,1,2934814864a608297772c1d79b25b4d05fee276be4efb36230e922cd806f03c4,SM25-29,Männlich,,18:31,69.67,136,0
1,2,a769395c83ad70f54a3e3a4af723eee6c713c62d5c385c81120e82b991d51bbf,SM20-24,Männlich,,19:24,66.49,1,0
1,3,91830a6e6a59491f056e006bdd129e3df2ddc05e17d0de74d3301077a0ea9010,VM35-39,Männlich,Freiwillige Feuerwehr Frankfurt am Main-Praunheim,22:34,59.60,169,73
1,4,4f738dcd6691d171565edd4426c01abccf8a8db1904139050f32402d875d7fc9,VM50-54,Männlich,,23:20,63.21,45,80
1,5,fb6c056bdbb1c70a9381bf1a9ad8e59d64188001e67448cbb9296b8528ad167b,VM45-49,Männlich,,24:24,58.54,11,1
1,6,249946b8ecaca548c25a2ac818cf2157d4e4fe82ebe9c456526ad3f77696bc65,VM50-54,Männlich,,24:35,61.49,184,168
1,7,e231903f274ec3dff39edb4825114963cfa78733612fa48feaa99f3a0ce755c0,SF25-29,Weiblich,,25:15,58.61,39,1
1,8,1be5a4bc82024ffc143ad211bdf364a72cdf914c6287a740bd23a9c5d546c7e4,VM60-64,Männlich,,25:57,62.36,36,4
1,9,1be57eaa3355c5f3fc5666f3dcf0f2c609e7ccceb7702ef800fc7be62f4033cb,VM50-54,Männlich,Team beVegt.de,26:53,54.87,157,90
1,10,11aead30aee0e5e346ec61a1420cdf413ddc7aa5e27fefdf7a9073ab7b1aadc1,VF50-54,Weiblich,,27:24,61.92,1,0
1,11,207f81b068eb568f4856c5098f10c3e6244eff0317e578a5062502c4a0a30b95,VF45-49,Weiblich,,27:56,59.31,47,92
1,12,a55551e3fad1833b2fdad4305929db6c4316b0d593a065f7c47bedb77fe0c222,VM75-79,Männlich,,28:25,69.21,65,11
1,13,52561cb59d41d878ed502aa0c927f80d65f5a4c6e03726b3a69dcc9a02a5ff93,VF40-44,Weiblich,,29:08,52.52,232,204
1,14,5cff48ad710cf05a5db6417af5d45ebac893b1c7449f3173c9de9e37a66dc8ac,VF35-39,Weiblich,Laufen gegen Leiden eV,30:42,49.29,4,1
1,15,6e78fb5afd4b550187e4aa170d863b3897bc29d9305b2bd259d3aa71e19e154a,VM40-44,Männlich,Southville Running Club ,31:24,44.80,380,38
1,16,7c40793930fbda2d46cfb19cb93dbb22c65341af0b5cc76995b89ce3a26591df,VF40-44,Weiblich,,33:37,46.46,120,0
1,17,58745748521c72a0cf544a3487eb268f670d1216681f184af0317ef2ee679c8b,VM45-49,Männlich,,33:47,42.62,50,0
1,18,1b75fd80218ebe5acfaa08a8bbe4afd736a34bfdbdda6f3719ac0322c34a003e,VF45-49,Weiblich,,35:00,45.81,150,75
1,19,ed2ff1d7532b7761b68d0c253add4f5dc52508386ffa5baba5c4aa8b5530956a,VM45-49,Männlich,,36:13,40.08,127,93
1,20,abc038153e88981d093d7d29da30d04ec3df12396bd3fdb795ed8db0fd953215,VM45-49,Männlich,,39:26,37.11,5,0
1,21,6c3bfe2aa1c23ad2bc9cf9e0943dc949be728ddddd6b66008f2da3276830820e,JM11-14,Männlich,,40:57,36.30,6,9
1,22,f2d1254fef7addba36e5b4b58edea5cf14b6488b50120dc03208c1d1aeede71a,VF55-59,Weiblich,Team beVegt.de,42:13,42.32,157,156
1,23,83115f5a23741f47257b50ddecd9c1e3344ce0f47d8b35cfabceeb98492a95ee,VF35-39,Weiblich,,42:13,35.85,31,53
1,24,10eea9e3e858c54f4648d0fd9d991ff063e761a816b1ab1139a003bf7c828b4f,JW10,Weiblich,,42:48,39.88,16,0
1,25,a693419b21944ddab50174f8895a4c36c69c983ef96f8ef8dea590d4797b1426,VF60-64,Weiblich,,53:18,38.02,1,1
1,26,0d5e8525512b821d8dc07966bf6d3c1d64aa06726bd436ee87704dd46c40afd6,VF40-44,Weiblich,,53:21,28.83,13,18
2,1,0d6564164d657dcbaea3d7433191226cb500c0a380f1daa4f31784165f0453ab,SM18-19,Männlich,,18:11,73.33,2,0
2,2,6b2198f5c2686266ec9a0778edd828345c76a7260a12d2ba0b1f889b3632036c,VM55-59,Männlich,,19:18,79.62,6,1
2,3,43071b1a629564f0cf041fa9aa1e211ed20897c77db1c65f12c062390a3e71f0,VM50-54,Männlich,,20:56,72.21,2,0
2,4,42fbf00641480b17b63e2068eeed66bff7e11ccf6652053e3d2e8b52b6189255,VM50-54,Männlich,ASC Konstanz,24:02,62.34,105,13
2,5,1be5a4bc82024ffc143ad211bdf364a72cdf914c6287a740bd23a9c5d546c7e4,VM60-64,Männlich,,24:36,65.79,36,4
2,6,4f624065b50bc4dbbd84f962c75022bb6eca8c7fe9118e4b58af0fdd44edc151,VM45-49,Männlich,,25:47,56.76,112,161
2,7,ff4d70598f6109e50e872d65aee8e6c7e7a1db58e0a7c83978e2825d378c8719,VM55-59,Männlich,,25:52,60.95,149,58
2,8,313542beb66570cb81582502243a9d6c0c1dcc33d0312afd27c39467ec4b163e,VF50-54,Weiblich,,26:42,65.23,4,1
2,9,a55551e3fad1833b2fdad4305929db6c4316b0d593a065f7c47bedb77fe0c222,VM75-79,Männlich,,27:45,70.87,65,11
2,10,5cff48ad710cf05a5db6417af5d45ebac893b1c7449f3173c9de9e37a66dc8ac,VF35-39,Weiblich,Laufen gegen Leiden eV,27:49,54.40,4,1
2,11,9ae2af5fc1f2f56366fc616cdc3bd05f434bc631f6eea209c2569274755381c9,VF35-39,Weiblich,,28:49,52.05,2,0
2,12,f43ace4ec99ebdb7a05fc08c7b0992f7bcb91bd9b4c15adb7bfa8da4641a4a34,VM45-49,Männlich,With Me Now,28:50,49.54,179,58
2,13,3e93c348301e4fb97a4448209a561cc4b42d185d3df990f4ff51632eb8964ee1,VM65-69,Männlich,,28:55,59.65,138,137
3,1,3a549bd6bf0d9a17251390ca16c7bdbc534568c0e6d7cf1d626b69f12477db9f,SM25-29,Männlich,,20:05,64.23,56,2
3,2,43071b1a629564f0cf041fa9aa1e211ed20897c77db1c65f12c062390a3e71f0,VM50-54,Männlich,,20:45,72.85,2,0
3,3,fb6c056bdbb1c70a9381bf1a9ad8e59d64188001e67448cbb9296b8528ad167b,VM45-49,Männlich,,21:20,66.95,11,1
3,4,73c2bd6e6f7a51a25aef7cfdd490811a930cb30378e26b66461b704ebf40dcd6,SF30-34,Weiblich,ASC Konstanz,21:56,67.55,1,0
3,5,42fbf00641480b17b63e2068eeed66bff7e11ccf6652053e3d2e8b52b6189255,VM50-54,Männlich,ASC Konstanz,23:45,63.09,105,13
3,6,5c9cd2b2d0e369cd1fa694ea93e589d5dac77325ecc7c7c4b5a7fbdd947366d6,VF35-39,Weiblich,,24:40,61.01,1,0
3,7,c3e5b05b9e6838c003e9f07270dd8c57c1236cc1de50779adbe57ac7e176228e,SF30-34,Weiblich,,25:19,58.53,1,0
3,8,92b676cd80466fc25f26464ac9c4b2297a5a8a183e76c0f5eb8a3ab621b26c13,SM30-34,Männlich,,25:36,50.78,43,2
3,9,282530f12dca7e6007832030a9c4ff549db4a11e4314edd47ee0aa9ec856efe6,SF30-34,Weiblich,,25:49,57.39,45,9
3,10,313542beb66570cb81582502243a9d6c0c1dcc33d0312afd27c39467ec4b163e,VF50-54,Weiblich,,26:36,65.48,4,1
3,11,ffbb3e1af6bcb8e691f626a4cc4b0f3963123a43c3384f87740367198a47799e,VM50-54,Männlich,,31:36,47.05,1,0
3,12,eef395eaf7637cd2e907460a3e5bba2c9c84e6709195c878b2b5fd46629d53cc,VF40-44,Weiblich,ASC Konstanz,31:37,48.39,22,111
4,1,3a549bd6bf0d9a17251390ca16c7bdbc534568c0e6d7cf1d626b69f12477db9f,SM25-29,Männlich,,20:10,63.97,56,2
