date,first_female,first_female_time,first_male,first_male_time,number_of_finishers,number_of_volunteers,event_number
2024-09-07,5699cd65bed4209bc59759b448de51190286cea23a6298fb7f3db5e9917f0439,21:52,59f265e789e06bdaa84e238b21c9eee1b77deaf5c9477cd9eb8f50535bf450c6,21:59,33,10,163
2024-08-31,c1bdb0c6d2ce725940fa4bf0685be1089684168d77e0c2462bc4aca26e7e3407,24:32,a82f27a0311bd2368d57e44d8fb77773de976db232300134903f8f1fbe519bd3,18:33,50,8,162
2024-08-24,5484cd1f589ff5150ca81fbf79ef7ede793d5b9940c9c507c648cd8b1d91b31d,20:53,9fbf9a93fae3e98904d0f621d5fe3dfb097dd97070bff02c7be99edf8294b7fb,17:50,46,10,161
2024-08-17,346b664808f9894132106819b084698de9dd97c88973b62340503c8cc1d5dec2,21:12,ddc6c07003754b3c293eaed5804c15644f9fbb0f1b958aab6044ee8f345ac648,18:32,54,11,160
2024-08-10,c1bdb0c6d2ce725940fa4bf0685be1089684168d77e0c2462bc4aca26e7e3407,24:49,393ab0078ae69a10bd651457336f864f3ffe8dd41b4bc4a39790b54a9edda422,16:57,56,11,159
2024-08-03,3450372f4f0ad8fecfe0dbef9e22f95350135c36359cfd81f81f20e4a035138e,23:16,b6d9617cdb15470febaaaeb52ad823e7f812959df30ecccf49bae2db01a03307,19:43,44,9,158
2024-07-27,33a31dd544794fc6d73a532290e18952343c3a74d0530c7ddc48de91db0fcff0,20:51,23adface32699cfb02630f2c40e1cf2625d2764c12c64afd95f40a97cd81636c,19:47,31,8,157
2024-07-20,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,22:40,c9f147ee25c932542ba2ef174d4058cbf7e319be37f4aa7726aa5acd1ad61405,21:32,56,9,156
2024-07-13,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,22:38,23adface32699cfb02630f2c40e1cf2625d2764c12c64afd95f40a97cd81636c,19:44,35,7,155
2024-07-06,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,23:02,23adface32699cfb02630f2c40e1cf2625d2764c12c64afd95f40a97cd81636c,18:09,29,8,154
2024-06-29,6c5295c6fbf85bef4bc5e8f15b3430b939771f629ece4d806e71f69fa653a2dd,19:41,f85fad5be51b14ba85974c853bd69bee79de4f56328ee596740621949b5efa00,20:10,32,8,153
2024-06-22,c0057021a33a698701f909831204decbd7bf6d3de3f63ee1de6efb2c2f0272e3,23:31,8d2d63885418df28930359e74e4bfe4d68f446193ab80d415d6576cca1cc26c6,18:53,59,10,152
2024-06-15,708c53a14048801649356421378891a786227188bccb1e9dbd2571e19d7d3f23,27:04,8cab42e6c7156c9142151e89e591c6574914689420733e3ba3d1040c4e377ec2,18:25,28,9,151
2024-06-08,33a31dd544794fc6d73a532290e18952343c3a74d0530c7ddc48de91db0fcff0,22:22,8cab42e6c7156c9142151e89e591c6574914689420733e3ba3d1040c4e377ec2,19:05,55,10,150
2024-06-01,be55788d90c0e97fd47e63bd16ceabba98c08985836fbe89ac3abca9b392b685,25:15,8cab42e6c7156c9142151e89e591c6574914689420733e3ba3d1040c4e377ec2,19:04,14,9,149
